num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,Internet,RoundTrip,144,5,6,2,KTMSIN,Singapore,0,0,0,4.75,0
1,Internet,RoundTrip,29,29,4,3,HKTPER,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,43,22,8,1,DMKKIX,Thailand,1,0,0,7.0,0
2,Internet,RoundTrip,192,23,4,1,CGKSYD,Indonesia,1,0,1,8.58,0
1,Internet,RoundTrip,68,5,3,4,DACOOL,Australia,1,0,0,8.83,0
1,Mobile,RoundTrip,31,25,12,7,DMKPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,26,5,6,4,CTSDMK,Thailand,1,0,0,8.67,1
1,Internet,RoundTrip,76,27,6,1,CKGSBW,Malaysia,1,0,0,4.83,0
1,Internet,RoundTrip,7,21,9,2,KCHPEK,Malaysia,1,0,0,6.42,0
1,Internet,RoundTrip,8,19,4,3,JHBWUH,Malaysia,1,1,1,5.13,0
1,Internet,RoundTrip,94,6,12,5,OOLTPE,Taiwan,1,0,0,8.83,0
1,Mobile,RoundTrip,15,47,2,1,ICNPER,Australia,1,0,0,6.62,0
2,Internet,RoundTrip,157,3,2,1,PERTPE,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,58,5,12,7,HKTPER,Australia,1,1,0,5.62,1
1,Internet,RoundTrip,1,49,4,3,JHBKTM,Malaysia,1,0,1,4.75,0
1,Internet,RoundTrip,58,18,1,3,DMKOOL,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,17,5,4,1,CGKICN,Indonesia,1,1,0,6.62,1
1,Internet,RoundTrip,84,5,8,7,MELPEN,Malaysia,1,0,1,8.83,1
2,Internet,RoundTrip,28,6,10,6,CTSDMK,Thailand,1,1,1,8.67,0
4,Internet,RoundTrip,58,6,10,7,PENPVG,China,0,0,0,5.33,0
1,Mobile,RoundTrip,11,5,11,6,DMKOOL,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,184,4,7,2,PENPVG,China,1,0,1,5.33,0
1,Internet,RoundTrip,45,6,1,7,CEBOOL,Australia,1,1,1,8.83,0
4,Internet,RoundTrip,92,36,1,6,CMBMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,16,29,4,1,ICNPER,Australia,1,0,0,6.62,0
1,Internet,RoundTrip,32,19,3,4,DMKPER,Australia,0,0,1,5.62,0
1,Internet,RoundTrip,8,44,10,1,KTMPEN,Malaysia,1,0,0,4.75,1
1,Internet,RoundTrip,2,23,14,3,HYDSYD,Australia,0,0,1,8.58,0
2,Internet,RoundTrip,143,24,9,6,AORKIX,Malaysia,1,1,1,7.0,1
2,Internet,RoundTrip,196,4,18,5,DMKIKA,Thailand,1,1,0,8.15,0
1,Internet,RoundTrip,80,79,10,7,DELMNL,Philippines,1,0,0,5.52,0
2,Internet,RoundTrip,58,33,7,1,DMKSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,19,29,19,7,MELPEN,Malaysia,1,0,0,8.83,0
2,Internet,RoundTrip,19,5,3,7,JHBTPE,Malaysia,1,0,0,4.67,1
2,Internet,RoundTrip,33,6,11,6,HKTPEK,China,0,0,0,6.42,0
1,Internet,RoundTrip,3,68,12,2,CGKOOL,Australia,1,1,1,8.83,1
6,Internet,RoundTrip,155,6,3,2,BKIPEK,Japan,1,1,0,6.42,0
1,Internet,RoundTrip,2,21,13,4,DMKPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,13,32,12,1,SGNSYD,Australia,0,0,1,8.58,0
2,Internet,RoundTrip,78,25,13,1,ICNPER,South Korea,1,1,1,6.62,0
1,Internet,RoundTrip,33,23,5,4,ICNPER,Australia,1,0,0,6.62,0
1,Internet,RoundTrip,6,2,3,3,JHBTPE,Taiwan,1,0,0,4.67,0
2,Mobile,RoundTrip,38,2,15,2,OOLTWU,Malaysia,0,1,1,8.83,1
2,Internet,RoundTrip,389,6,11,2,CTSDMK,Thailand,0,0,0,8.67,0
1,Internet,RoundTrip,11,5,4,3,COKSYD,Australia,1,1,1,8.58,0
1,Mobile,RoundTrip,49,5,11,4,PERSGN,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,11,6,18,3,HNDSUB,Germany,1,0,1,7.57,1
2,Mobile,RoundTrip,151,28,23,7,CMBMEL,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,11,4,6,5,KBVPVG,China,1,0,0,5.33,0
3,Internet,RoundTrip,318,4,16,7,CNXHND,Thailand,0,0,0,7.57,0
1,Mobile,RoundTrip,68,5,11,1,CMBHND,Japan,0,0,0,7.57,0
4,Internet,RoundTrip,291,20,23,7,DPSMEL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,32,4,13,4,CTSPER,Japan,0,0,0,8.67,0
1,Internet,RoundTrip,22,18,10,6,IKASYD,Australia,1,0,0,8.58,0
2,Internet,RoundTrip,147,20,4,6,CMBMEL,Australia,1,1,0,8.83,0
2,Internet,RoundTrip,25,6,13,1,CMBKIX,Japan,0,0,0,7.0,0
9,Internet,RoundTrip,6,4,12,6,HDYPEK,Hong Kong,1,0,0,6.42,0
1,Internet,RoundTrip,19,23,10,3,MELSGN,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,86,30,2,3,CGKICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,11,60,19,3,AKLKUL,United Kingdom,1,1,1,8.83,0
1,Internet,RoundTrip,283,20,4,7,DPSSYD,Australia,0,0,0,8.58,0
2,Internet,RoundTrip,231,6,19,6,DMKKIX,Thailand,1,0,1,7.0,0
1,Internet,RoundTrip,34,56,7,1,PERPUS,Malaysia,0,0,1,6.33,0
1,Mobile,RoundTrip,143,4,17,1,BDOOOL,Indonesia,0,0,0,8.83,0
1,Internet,RoundTrip,16,4,8,2,MELSIN,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,23,6,6,2,HKTPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,3,4,9,1,MELSGN,Australia,1,0,1,8.83,1
3,Internet,RoundTrip,210,28,3,2,CGKPVG,Indonesia,1,0,1,5.33,1
1,Internet,RoundTrip,29,3,16,2,DPSPVG,Canada,1,1,1,5.33,0
2,Internet,RoundTrip,165,39,10,7,SBWSYD,United Kingdom,1,0,1,8.58,0
1,Internet,RoundTrip,43,40,10,2,DELSYD,India,1,1,1,8.58,0
1,Internet,RoundTrip,186,4,23,7,DMKPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,75,33,15,1,KIXPEN,Japan,1,1,1,7.0,0
3,Internet,RoundTrip,74,5,4,7,DMKKIX,Thailand,1,0,0,7.0,1
1,Internet,RoundTrip,54,6,6,1,MLEPER,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,16,3,1,2,HKGSYD,China,0,1,1,8.58,1
4,Internet,RoundTrip,263,6,13,2,KCHOOL,Malaysia,1,0,1,8.83,0
1,Internet,RoundTrip,15,29,5,3,DELMEL,Australia,1,1,1,8.83,0
4,Internet,RoundTrip,300,20,8,4,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,40,6,2,4,PEKPEN,China,0,0,0,6.42,0
1,Mobile,RoundTrip,84,4,0,4,DMKKIX,Thailand,1,0,1,7.0,1
1,Internet,RoundTrip,61,24,11,5,SGNSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,159,6,6,6,HNDKNO,Malaysia,1,0,0,7.57,1
2,Internet,RoundTrip,156,5,6,1,MELPEN,Australia,1,1,0,8.83,0
1,Internet,RoundTrip,109,5,4,4,PENTPE,Malaysia,1,0,1,4.67,1
1,Mobile,RoundTrip,334,3,14,7,HNDSGN,Japan,0,1,0,7.57,0
1,Mobile,RoundTrip,76,4,0,5,PEKPEN,Malaysia,0,0,0,6.42,0
2,Internet,RoundTrip,234,6,3,4,DMKKIX,Thailand,1,0,1,7.0,0
1,Internet,RoundTrip,1,2,7,4,CCUSYD,Australia,0,0,1,8.58,0
2,Internet,RoundTrip,19,17,12,7,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,86,29,1,7,COKSYD,Australia,1,1,0,8.58,0
1,Internet,RoundTrip,214,17,8,7,CMBMEL,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,17,5,14,1,ICNSIN,South Korea,0,0,1,6.62,0
1,Internet,RoundTrip,9,20,4,3,MELTPE,Taiwan,1,1,1,8.83,0
1,Internet,RoundTrip,16,22,10,1,MELVTZ,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,205,88,7,6,AKLKUL,Malaysia,1,1,1,8.83,0
1,Internet,RoundTrip,139,6,9,5,MFMPER,Australia,0,0,0,5.62,0
1,Mobile,RoundTrip,65,5,22,1,MELTPE,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,100,42,17,7,AKLKUL,Malaysia,0,0,0,8.83,1
1,Internet,RoundTrip,193,20,3,2,MELPEN,Australia,1,0,1,8.83,0
3,Internet,RoundTrip,350,6,11,2,AKLKUL,Malaysia,1,1,1,8.83,1
3,Internet,RoundTrip,259,21,9,6,AKLKUL,New Zealand,1,0,1,8.83,0
2,Internet,RoundTrip,122,5,0,1,DPSPEK,China,0,0,0,6.42,0
1,Internet,RoundTrip,37,21,2,4,AKLKUL,Vietnam,1,0,1,8.83,0
1,Internet,RoundTrip,12,27,22,4,BDOMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,12,87,9,2,COKPER,Australia,1,0,1,5.62,0
2,Internet,RoundTrip,249,22,8,5,CRKSYD,Australia,1,0,1,8.58,0
2,Internet,RoundTrip,135,5,15,2,REPTPE,Taiwan,1,0,1,4.67,0
2,Internet,RoundTrip,145,99,3,7,KCHOOL,Malaysia,0,0,1,8.83,0
2,Internet,RoundTrip,133,42,9,3,OOLSBW,Malaysia,1,1,1,8.83,1
1,Internet,RoundTrip,43,4,11,1,ICNSIN,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,25,22,12,7,HYDPER,India,1,1,1,5.62,1
1,Internet,RoundTrip,9,350,13,2,COKMEL,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,63,86,15,7,DMKPER,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,229,17,8,6,AKLKUL,New Zealand,0,0,0,8.83,0
2,Internet,RoundTrip,338,29,5,7,CMBPER,Australia,0,1,0,5.62,0
1,Mobile,RoundTrip,80,6,23,5,ICNMLE,South Korea,1,1,1,6.62,1
1,Internet,RoundTrip,20,21,6,5,PERSBW,Malaysia,1,1,0,5.62,0
2,Mobile,RoundTrip,13,6,11,4,OOLPNH,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,77,5,9,7,SGNSYD,Australia,0,0,0,8.58,0
2,Internet,RoundTrip,41,3,15,5,PEKSIN,China,1,0,0,6.42,0
1,Internet,RoundTrip,227,28,11,7,MELSBW,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,191,5,7,2,DMKMEL,Thailand,0,0,0,8.83,0
4,Internet,RoundTrip,25,17,3,4,KNOTPE,Indonesia,1,0,1,4.67,0
1,Internet,RoundTrip,6,31,9,2,PEKSYD,Australia,1,0,1,8.58,0
1,Mobile,RoundTrip,32,6,11,5,DMKPER,Australia,0,1,0,5.62,0
2,Internet,RoundTrip,235,25,0,7,AKLKUL,New Zealand,1,0,0,8.83,0
7,Internet,RoundTrip,40,5,21,7,TPETWU,Taiwan,0,0,0,4.67,0
5,Internet,RoundTrip,44,17,1,4,BDOHGH,China,1,0,1,5.07,0
1,Internet,RoundTrip,8,61,9,1,MELTRZ,India,1,0,1,8.83,0
1,Internet,RoundTrip,235,20,7,6,HNDPER,Australia,1,0,0,7.57,1
1,Internet,RoundTrip,1,20,11,5,KTMMFM,Macau,0,0,0,4.75,0
1,Internet,RoundTrip,18,5,17,6,MLEPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,40,6,13,1,KIXLOP,Japan,0,1,0,7.0,0
1,Internet,RoundTrip,19,30,12,2,CTSDPS,Japan,1,0,0,8.67,0
1,Internet,RoundTrip,21,4,12,5,HNDLGK,Japan,0,0,1,7.57,1
1,Internet,RoundTrip,17,29,5,1,OOLURT,Australia,1,1,1,8.83,1
1,Internet,RoundTrip,58,6,15,4,HNDSYD,Japan,1,0,0,8.58,0
1,Mobile,RoundTrip,26,22,11,3,MELPEN,Malaysia,0,0,1,8.83,0
1,Internet,RoundTrip,6,34,11,1,AKLTPE,New Zealand,0,0,0,4.67,0
1,Internet,RoundTrip,5,6,17,6,DMKPER,Australia,1,0,0,5.62,0
3,Internet,RoundTrip,207,35,13,5,CANPER,Australia,1,0,1,5.62,0
1,Internet,RoundTrip,19,41,2,2,CGKKIX,Japan,0,0,0,7.0,0
1,Internet,RoundTrip,108,28,9,4,DPSHND,Japan,1,0,1,7.57,0
3,Internet,RoundTrip,48,6,12,7,KIXPEN,Malaysia,0,0,0,7.0,0
2,Internet,RoundTrip,220,3,10,4,DELSIN,India,0,0,0,5.52,0
1,Internet,RoundTrip,34,2,7,6,ICNSIN,South Korea,0,0,0,6.62,0
2,Internet,RoundTrip,32,4,15,1,HKTICN,South Korea,1,0,0,6.62,0
2,Internet,RoundTrip,83,28,9,3,HNDPEN,Japan,0,0,0,7.57,0
4,Internet,RoundTrip,120,38,13,4,DMKOOL,Thailand,1,1,1,8.83,0
1,Internet,RoundTrip,21,4,9,2,MELTPE,Taiwan,1,1,0,8.83,0
1,Internet,RoundTrip,27,24,7,4,BLRMEL,India,1,1,1,8.83,0
2,Internet,RoundTrip,398,5,21,7,KBVKIX,Japan,1,0,0,7.0,0
1,Internet,RoundTrip,36,39,15,1,CKGMAA,India,1,0,1,4.83,0
1,Internet,RoundTrip,15,29,9,5,IKAMEL,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,40,17,8,6,AKLKUL,Malaysia,1,1,1,8.83,0
3,Internet,RoundTrip,66,35,9,2,COKSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,198,4,7,3,HKTICN,South Korea,0,0,0,6.62,0
3,Internet,RoundTrip,274,19,14,4,CGKSYD,Indonesia,0,0,1,8.58,1
1,Internet,RoundTrip,49,43,11,6,DACSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,50,21,14,1,HNDPER,Australia,1,0,1,7.57,0
1,Internet,RoundTrip,57,29,3,7,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,116,4,9,1,CGKKIX,Indonesia,1,1,1,7.0,1
2,Internet,RoundTrip,66,5,3,7,CTUDPS,China,1,0,0,4.72,0
3,Mobile,RoundTrip,1,17,0,4,SGNSYD,Australia,1,1,1,8.58,0
2,Internet,RoundTrip,123,5,17,6,KBVKIX,Japan,1,1,0,7.0,0
2,Internet,RoundTrip,215,23,9,5,CMBOOL,Australia,1,0,1,8.83,0
1,Mobile,RoundTrip,83,23,19,5,BKIHND,United States,1,1,0,7.57,0
1,Internet,RoundTrip,8,5,4,6,PENTPE,Malaysia,0,0,1,4.67,0
1,Internet,RoundTrip,25,77,15,3,CANOOL,Australia,1,0,1,8.83,1
4,Internet,RoundTrip,249,6,16,7,HNDPEN,Malaysia,1,1,1,7.57,1
1,Mobile,RoundTrip,38,4,14,6,HNDPER,Australia,0,0,0,7.57,0
1,Internet,RoundTrip,53,4,10,2,PENSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,18,4,11,4,HNDLGK,Japan,0,0,0,7.57,0
2,Internet,RoundTrip,150,22,12,2,CMBMEL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,39,34,14,4,MELSGN,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,46,26,8,3,DELMEL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,32,30,3,4,HKTPER,Australia,1,0,1,5.62,0
1,Internet,RoundTrip,12,3,16,7,KIXREP,Japan,0,0,0,7.0,1
2,Internet,RoundTrip,263,5,10,6,DPSTPE,Taiwan,0,0,1,4.67,0
1,Internet,RoundTrip,23,2,22,3,MELSIN,United States,1,1,1,8.83,0
1,Mobile,RoundTrip,186,4,22,7,KIXSIN,Japan,0,0,0,7.0,0
1,Internet,RoundTrip,7,21,2,2,DPSSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,6,24,3,5,SGNSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,25,6,11,4,LGKPER,United Kingdom,1,1,1,5.62,0
1,Mobile,RoundTrip,25,5,15,7,RGNTPE,Myanmar (Burma),0,0,0,4.67,0
1,Internet,RoundTrip,32,3,17,3,ICNPEN,Mexico,0,0,0,6.62,0
1,Internet,RoundTrip,15,29,18,4,MAATPE,Taiwan,1,0,1,4.67,0
2,Internet,RoundTrip,26,6,13,3,BKIHND,Japan,1,1,0,7.57,0
2,Internet,RoundTrip,161,25,12,3,DELDPS,Indonesia,0,0,0,5.52,0
2,Internet,RoundTrip,358,27,7,6,AKLKUL,New Zealand,1,0,1,8.83,0
2,Internet,RoundTrip,19,4,16,3,KBVPEK,China,0,0,1,6.42,0
1,Internet,RoundTrip,9,89,3,1,PENPER,Malaysia,1,0,0,5.62,0
4,Internet,RoundTrip,27,5,12,1,AKLKUL,Malaysia,1,1,0,8.83,0
1,Mobile,RoundTrip,103,21,15,2,DMKSYD,Thailand,0,0,0,8.58,0
4,Internet,RoundTrip,3,4,8,1,CGKICN,South Korea,0,0,0,6.62,0
2,Internet,RoundTrip,84,26,11,7,CGKSYD,Australia,1,1,1,8.58,0
5,Mobile,RoundTrip,109,5,11,7,PENTPE,Malaysia,0,0,0,4.67,1
1,Internet,RoundTrip,13,31,6,3,KTMMFM,Macau,1,0,0,4.75,0
1,Internet,RoundTrip,15,2,13,3,PERSGN,Vietnam,0,0,0,5.62,1
1,Internet,RoundTrip,26,4,5,4,CGKKIX,Japan,0,0,0,7.0,0
1,Internet,RoundTrip,17,6,6,1,CTSDMK,Thailand,0,0,0,8.67,0
1,Internet,RoundTrip,15,30,1,4,DACSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,49,20,5,3,DELMEL,Australia,0,0,1,8.83,0
2,Mobile,RoundTrip,9,83,5,2,DMKOOL,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,136,17,22,3,MRUSYD,Australia,1,1,1,8.58,1
2,Internet,RoundTrip,24,41,8,3,JHBKTM,Malaysia,1,0,1,4.75,1
3,Internet,RoundTrip,254,17,8,5,DMKSYD,Australia,1,1,1,8.58,0
3,Internet,RoundTrip,111,5,14,1,ICNMEL,South Korea,0,1,1,8.83,0
1,Internet,RoundTrip,8,6,15,2,AORKIX,Italy,1,0,0,7.0,0
2,Internet,RoundTrip,23,67,7,1,HKGPER,China,1,1,1,5.62,0
2,Internet,RoundTrip,136,4,16,4,ICNOOL,South Korea,1,1,1,8.83,0
1,Internet,RoundTrip,93,3,9,2,CMBSYD,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,12,5,10,4,CMBSYD,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,25,25,7,5,MELTRZ,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,19,26,4,4,MYYPUS,Malaysia,1,0,1,6.33,0
1,Internet,RoundTrip,140,26,3,3,AKLTPE,Taiwan,1,0,1,4.67,0
5,Internet,RoundTrip,83,5,13,2,DPSPVG,China,1,0,0,5.33,0
4,Internet,RoundTrip,66,5,9,6,HNDREP,Japan,0,0,0,7.57,0
2,Internet,RoundTrip,165,41,11,1,DELMEL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,146,28,4,6,DMKSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,73,30,6,2,HKTPER,Australia,1,0,0,5.62,1
3,Internet,RoundTrip,53,6,3,1,DPSHGH,China,1,0,0,5.07,0
2,Internet,RoundTrip,19,3,19,3,MAATPE,India,0,1,0,4.67,0
1,Internet,RoundTrip,118,5,13,1,HKTICN,South Korea,0,0,0,6.62,0
4,Internet,RoundTrip,254,33,11,5,BLRMEL,Australia,1,0,1,8.83,0
2,Internet,RoundTrip,24,6,6,4,ICNOOL,South Korea,1,1,1,8.83,0
1,Internet,RoundTrip,11,18,2,5,HGHSUB,Indonesia,0,0,0,5.07,0
2,Mobile,RoundTrip,15,102,8,2,IKAPER,Australia,1,1,1,8.15,0
1,Internet,RoundTrip,276,25,12,6,MAAMEL,India,0,1,1,8.83,1
1,Internet,RoundTrip,98,4,14,7,HKTICN,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,0,3,9,5,HNDPEN,Japan,0,1,0,7.57,0
1,Internet,RoundTrip,42,4,11,4,ICNSIN,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,208,28,14,1,ICNSYD,South Korea,1,0,0,8.58,0
1,Internet,RoundTrip,233,30,5,3,COKSYD,Australia,1,0,1,8.58,0
2,Internet,RoundTrip,105,5,7,7,DPSICN,South Korea,1,0,1,6.62,0
2,Internet,RoundTrip,206,5,15,4,DPSTPE,Taiwan,1,0,0,4.67,0
1,Internet,RoundTrip,65,4,17,4,CTSPEN,Japan,1,1,1,8.67,0
1,Internet,RoundTrip,81,34,7,5,DADMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,56,2,2,4,KIXPER,Japan,0,0,1,7.0,0
1,Internet,RoundTrip,267,5,9,4,CGKSYD,Indonesia,1,0,1,8.58,0
1,Internet,RoundTrip,38,21,3,2,HKTOOL,Australia,1,1,0,8.83,0
1,Internet,RoundTrip,87,5,15,2,DPSTPE,Taiwan,1,0,0,4.67,0
1,Internet,RoundTrip,108,22,12,4,MELTPE,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,12,22,3,6,HYDOOL,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,8,23,5,1,DMKPER,Australia,1,1,0,5.62,0
2,Internet,RoundTrip,37,18,0,1,COKSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,12,18,16,5,PEKSUB,China,1,1,1,6.42,1
2,Internet,RoundTrip,86,5,10,1,LGKMEL,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,41,26,0,4,KTMMFM,Macau,1,0,0,4.75,1
1,Internet,RoundTrip,41,35,13,3,CANPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,62,4,3,5,BKIPER,Australia,0,0,0,5.62,0
2,Internet,RoundTrip,123,17,13,1,HKTMEL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,62,20,5,1,MELPNH,Australia,0,0,0,8.83,0
1,Mobile,RoundTrip,3,5,8,7,PERREP,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,62,3,4,2,HGHTRZ,China,0,0,0,5.07,0
2,Internet,RoundTrip,247,5,12,1,HKTSYD,Australia,0,0,0,8.58,0
1,Mobile,RoundTrip,67,6,9,7,OOLUTP,Australia,0,1,1,8.83,0
1,Internet,RoundTrip,412,18,4,2,HKTOOL,Australia,1,1,0,8.83,0
2,Internet,RoundTrip,38,5,10,3,HKTTPE,Taiwan,0,0,0,4.67,0
1,Internet,RoundTrip,20,2,14,7,HNDSIN,Singapore,0,0,0,7.57,0
3,Internet,RoundTrip,174,6,13,6,ICNSYD,South Korea,1,0,0,8.58,0
2,Internet,RoundTrip,175,31,23,1,MELSGN,Australia,1,0,1,8.83,0
3,Internet,RoundTrip,43,6,3,4,MLEPVG,China,1,0,0,5.33,1
1,Internet,RoundTrip,308,20,8,1,DPSHND,Japan,0,0,0,7.57,0
4,Internet,RoundTrip,366,6,9,1,AKLDEL,India,0,0,0,5.52,0
4,Internet,RoundTrip,133,17,3,2,HKTOOL,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,52,36,3,7,BOMSYD,India,1,0,0,8.58,0
3,Internet,RoundTrip,8,5,16,7,HKTWUH,China,1,1,1,5.13,1
1,Mobile,RoundTrip,27,86,14,4,HKGSYD,Hong Kong,1,1,1,8.58,0
1,Internet,RoundTrip,16,30,6,6,AKLKUL,Malaysia,1,0,1,8.83,0
1,Mobile,RoundTrip,19,19,12,5,DACMEL,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,403,22,11,1,BKISYD,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,48,22,0,5,MELSGN,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,47,32,7,7,HYDSYD,Australia,1,0,0,8.58,0
5,Internet,RoundTrip,168,5,11,2,DPSPEK,China,0,0,0,6.42,0
1,Internet,RoundTrip,16,20,12,3,MELMNL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,115,27,9,7,CEBOOL,Australia,1,1,1,8.83,1
1,Internet,RoundTrip,8,148,3,1,MELPNH,Australia,1,0,0,8.83,0
5,Internet,RoundTrip,81,6,15,6,HGHHKT,China,1,0,0,5.07,0
2,Internet,RoundTrip,37,6,13,6,DPSHND,Japan,0,0,0,7.57,0
2,Internet,RoundTrip,79,4,0,1,KCHMEL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,135,6,15,5,AKLKUL,Malaysia,1,1,1,8.83,0
2,Internet,RoundTrip,76,4,18,5,HNDKCH,Japan,1,0,1,7.57,1
6,Internet,RoundTrip,122,5,6,1,MRUSZX,China,0,0,1,7.42,0
1,Internet,RoundTrip,177,41,13,5,MELMYY,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,40,3,5,5,DMKHND,Thailand,0,0,0,7.57,0
1,Mobile,RoundTrip,12,63,11,2,COKMEL,India,1,1,1,8.83,0
1,Mobile,RoundTrip,37,18,11,1,KTMSIN,Singapore,1,0,0,4.75,1
1,Mobile,RoundTrip,44,5,12,2,DMKPEK,China,0,0,0,6.42,0
1,Internet,RoundTrip,54,5,2,5,CGKPER,Australia,0,0,1,5.62,0
1,Internet,RoundTrip,184,31,3,2,MELMRU,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,195,5,11,5,DPSPVG,China,0,0,0,5.33,0
1,Internet,RoundTrip,17,6,3,2,KIXLGK,Japan,1,0,0,7.0,0
1,Internet,RoundTrip,34,5,3,5,BDOPVG,Indonesia,1,0,0,5.33,1
2,Internet,RoundTrip,30,6,13,3,HKTPUS,South Korea,1,0,0,6.33,0
3,Internet,RoundTrip,89,22,6,6,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,38,3,10,1,MELTPE,Taiwan,1,0,0,8.83,0
8,Internet,RoundTrip,106,5,9,1,LGKPEK,China,1,0,0,6.42,0
2,Internet,RoundTrip,66,5,9,4,DPSICN,South Korea,0,0,1,6.62,0
2,Mobile,RoundTrip,4,28,11,6,DELSYD,India,1,1,1,8.58,0
1,Internet,RoundTrip,19,22,3,6,CTUSIN,Malaysia,0,0,0,4.72,0
1,Mobile,RoundTrip,16,64,5,5,PERTPE,Taiwan,1,0,0,5.62,0
2,Internet,RoundTrip,25,35,11,3,PUSTRZ,South Korea,1,1,1,6.33,1
1,Internet,RoundTrip,6,2,23,7,HNDPER,Australia,0,1,1,7.57,0
1,Internet,RoundTrip,282,5,14,2,BKIMEL,Malaysia,1,1,1,8.83,1
2,Internet,RoundTrip,286,6,4,7,CGKXIY,Indonesia,0,0,0,5.0,0
1,Internet,RoundTrip,44,18,3,1,DMKPER,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,22,205,9,1,CNXPEK,Thailand,1,0,0,6.42,1
2,Internet,RoundTrip,259,25,8,3,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,83,34,10,1,SGNSYD,Australia,1,0,1,8.58,0
2,Internet,RoundTrip,48,21,1,6,MELSGN,Australia,1,0,0,8.83,0
2,Mobile,RoundTrip,25,4,15,7,PVGSIN,China,0,0,1,5.33,0
1,Internet,RoundTrip,3,68,12,2,CGKOOL,Australia,1,1,1,8.83,1
1,Internet,RoundTrip,19,33,4,4,COKSYD,Australia,1,0,0,8.58,0
